User: USER;Path: C:\Program Files\BMG\OPTIMA\User\Data\;Test run no.: 7556
Test name: ABS ECOLI;Date: 2017-11-28;Time: 3:43:35 PM
ID1: 20170517_AP33  1;ID2: Absorbance;
Absorbance

Well Row;;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F;F;F;F;G;G;G;G;G;G;G;G;G;G;G;G;H;H;H;H;H;H;H;H;H;H;H;H
Well Col;;1;2;3;4;5;6;7;8;9;10;11;12;1;2;3;4;5;6;7;8;9;10;11;12;1;2;3;4;5;6;7;8;9;10;11;12;1;2;3;4;5;6;7;8;9;10;11;12;1;2;3;4;5;6;7;8;9;10;11;12;1;2;3;4;5;6;7;8;9;10;11;12;1;2;3;4;5;6;7;8;9;10;11;12;1;2;3;4;5;6;7;8;9;10;11;12
Content;Time [s];Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12
Raw Data (584);0;1.884;1.926;2.027;1.807;1.868;1.864;1.997;2.123;2.058;1.981;1.99;1.918;1.966;1.955;2.002;2.026;2.009;1.914;2.336;1.937;1.908;1.845;1.914;1.904;1.939;1.921;1.892;1.893;1.794;1.914;2.041;1.974;2.026;1.884;1.921;1.938;1.855;1.834;1.932;1.842;1.861;2.016;2.014;2.029;2.76;1.915;1.943;1.904;1.897;1.984;2.059;1.996;2.012;2.003;1.713;1.758;1.791;1.615;1.664;1.634;1.892;1.993;1.877;1.895;1.972;2.028;1.66;1.69;1.594;1.607;1.689;1.612;0.474;0.482;0.475;0.446;0.381;0.449;0.452;0.492;0.436;0.454;0.445;0.45;0.092;0.11;0.088;0.095;0.098;0.115;0.114;0.116;0.106;0.087;0.091;0.111
Raw Data (584);614;1.902;1.93;2.029;1.819;1.858;1.854;2.016;2.137;2.083;1.968;1.992;1.95;2.02;2.007;2.023;2.04;2.016;1.942;2.533;1.987;1.957;1.905;1.911;1.927;2.032;1.954;1.919;1.969;1.825;1.986;2.101;2.016;2.034;1.933;1.972;1.971;1.912;1.865;2.004;1.899;1.9;2.041;2.05;2.045;2.643;1.976;1.984;1.948;1.958;2.027;2.146;2.023;2.035;2.061;1.792;1.822;1.837;1.66;1.693;1.71;1.948;2.029;1.95;1.945;2.005;2.079;1.764;1.778;1.68;1.692;1.723;1.679;0.462;0.5;0.484;0.455;0.473;0.448;0.464;0.521;0.438;0.476;0.469;0.486;0.098;0.116;0.092;0.103;0.116;0.118;0.126;0.131;0.111;0.101;0.09;0.123
Raw Data (584);1225;1.924;1.965;2.052;1.849;1.888;1.88;2.038;2.175;2.123;1.978;2.022;1.995;2.071;2.037;2.063;2.075;2.05;1.99;2.608;2.039;2.009;1.943;1.958;1.979;2.115;2.003;1.971;2.017;1.835;2.038;2.16;2.06;2.07;2.018;2.031;2.012;1.96;1.901;2.084;1.964;1.949;2.091;2.112;2.113;2.696;2.017;2.042;1.996;2.012;2.071;2.194;2.048;2.059;2.116;1.854;1.881;1.867;1.713;1.755;1.779;1.99;2.083;2.007;1.958;2.052;2.11;1.856;1.831;1.729;1.746;1.785;1.748;0.493;0.526;0.513;0.468;0.497;0.474;0.493;0.553;0.446;0.514;0.5;0.506;0.109;0.124;0.11;0.109;0.123;0.128;0.128;0.134;0.118;0.1;0.103;0.132
Raw Data (584);1837;1.925;1.974;2.059;1.862;1.894;1.889;2.052;2.183;2.152;1.996;2.063;2.057;2.103;2.08;2.076;2.087;2.052;2.017;2.599;2.076;2.035;1.999;1.973;2.02;2.119;2.014;1.99;2.031;1.846;2.055;2.176;2.084;2.087;2.064;2.051;2.029;1.97;1.915;2.114;1.99;1.977;2.093;2.127;2.141;2.595;2.058;2.078;2.022;2.025;2.096;2.196;2.046;2.059;2.131;1.869;1.911;1.89;1.755;1.757;1.818;2.009;2.09;2.057;1.977;2.047;2.157;1.905;1.87;1.74;1.8;1.814;1.789;0.471;0.506;0.5;0.44;0.483;0.511;0.478;0.547;0.438;0.506;0.492;0.499;0.106;0.114;0.098;0.107;0.116;0.121;0.129;0.128;0.113;0.104;0.097;0.128
Raw Data (584);2447;1.943;1.98;2.064;1.871;1.901;1.884;2.058;2.179;2.155;2.009;2.078;2.067;2.108;2.104;2.077;2.097;2.065;2.034;2.682;2.102;2.055;2.031;1.977;2.03;2.131;2.028;2;2.038;1.857;2.065;2.193;2.103;2.11;2.112;2.075;2.048;1.993;1.934;2.131;2.007;1.998;2.112;2.147;2.173;2.624;2.075;2.107;2.043;2.041;2.094;2.209;2.051;2.069;2.142;1.902;1.937;1.9;1.779;1.779;1.839;2.022;2.116;2.085;1.981;2.071;2.177;1.929;1.876;1.753;1.809;1.822;1.807;0.481;0.526;0.509;0.456;0.487;0.469;0.497;0.559;0.441;0.532;0.504;0.505;0.101;0.117;0.096;0.108;0.113;0.115;0.115;0.126;0.109;0.097;0.099;0.116
Raw Data (584);3056;1.957;1.99;2.053;1.878;1.91;1.888;2.063;2.189;2.167;2.015;2.111;2.099;2.143;2.132;2.084;2.094;2.074;2.041;2.694;2.121;2.093;2.084;1.989;2.042;2.133;2.032;2.009;2.046;1.857;2.079;2.205;2.122;2.126;2.166;2.098;2.072;2.009;1.954;2.15;2.014;2.022;2.121;2.165;2.212;2.543;2.114;2.138;2.066;2.06;2.115;2.222;2.063;2.074;2.153;1.921;1.97;1.923;1.804;1.802;1.87;2.043;2.124;2.121;1.994;2.074;2.191;1.969;1.905;1.782;1.864;1.856;1.841;0.471;0.51;0.505;0.435;0.474;0.462;0.481;0.56;0.428;0.529;0.502;0.501;0.103;0.122;0.099;0.099;0.107;0.118;0.126;0.131;0.115;0.098;0.095;0.122
Raw Data (584);3666;1.977;2.006;2.064;1.906;1.924;1.905;2.077;2.198;2.176;2.036;2.137;2.124;2.142;2.14;2.087;2.096;2.092;2.069;2.741;2.157;2.131;2.133;2.013;2.078;2.155;2.046;2.022;2.061;1.862;2.089;2.224;2.141;2.148;2.203;2.122;2.104;2.038;1.967;2.156;2.022;2.05;2.132;2.181;2.229;2.609;2.162;2.172;2.094;2.08;2.137;2.232;2.083;2.086;2.163;1.943;1.993;1.939;1.833;1.818;1.888;2.057;2.143;2.145;1.999;2.088;2.202;1.997;1.929;1.813;1.876;1.878;1.863;0.491;0.533;0.523;0.466;0.487;0.471;0.503;0.581;0.442;0.556;0.518;0.516;0.105;0.128;0.105;0.105;0.118;0.126;0.129;0.128;0.109;0.099;0.097;0.131
Raw Data (584);4276;1.959;1.997;2.057;1.895;1.913;1.907;2.079;2.178;2.177;2.046;2.172;2.18;2.158;2.152;2.075;2.102;2.078;2.077;2.686;2.169;2.151;2.168;2;2.075;2.157;2.039;2.016;2.058;1.85;2.09;2.224;2.147;2.156;2.234;2.12;2.124;2.028;1.968;2.147;2.025;2.073;2.118;2.187;2.243;2.51;2.195;2.185;2.119;2.075;2.127;2.231;2.085;2.078;2.147;1.943;2.003;1.951;1.861;1.845;1.925;2.061;2.135;2.166;2.03;2.095;2.205;2.011;1.94;1.835;1.915;1.896;1.889;0.469;0.507;0.492;0.437;0.47;0.44;0.476;0.553;0.428;0.52;0.496;0.5;0.093;0.109;0.095;0.097;0.104;0.106;0.129;0.122;0.11;0.092;0.094;0.121
